"Country","Day","Date","Confirmed","Deaths","Recovered"
"China","1","21-01-2020","55","0","0"
"China","2","22-01-2020","103","0","0"
"China","3","23-01-2020","195","1","2"
"China","4","24-01-2020","367","2","5"
"China","5","25-01-2020","638","2","7"
"China","6","26-01-2020","1004","4","7"
"China","7","27-01-2020","1440","6","13"
"China","8","28-01-2020","1940","6","21"
"China","9","29-01-2020","2516","8","32"
"China","10","30-01-2020","3221","9","45"
"China","11","31-01-2020","3977","9","73"
"China","12","01-02-2020","4718","10","107"
"China","13","02-02-2020","5430","11","168"
"China","14","03-02-2020","6171","11","228"
"China","15","04-02-2020","7002","11","321"
"China","16","05-02-2020","7744","13","482"
"China","17","06-02-2020","8441","14","659"
"China","18","07-02-2020","9122","18","883"
"China","19","08-02-2020","9678","24","1156"
"China","20","09-02-2020","10159","33","1423"
"China","21","10-02-2020","10578","37","1695"
"China","22","11-02-2020","10961","43","1996"
"China","23","12-02-2020","11333","48","2393"
"China","24","13-02-2020","11626","58","2754"
"China","25","14-02-2020","11886","63","3199"
"China","26","15-02-2020","12098","66","3671"
"China","27","16-02-2020","12264","69","4109"
"China","28","17-02-2020","12375","74","4593"
"China","29","18-02-2020","12457","81","5071"
"China","30","19-02-2020","12515","85","5615"
"China","31","20-02-2020","12557","92","6214"
"China","32","21-02-2020","12810","92","6812"
"China","33","22-02-2020","12838","95","7388"
"China","34","23-02-2020","12854","97","7827"
"China","35","24-02-2020","12865","98","8242"
"China","36","25-02-2020","12874","100","8679"
"China","37","26-02-2020","12878","100","9084"
"China","38","27-02-2020","12902","103","9515"
"China","39","28-02-2020","12910","106","9888"
"China","40","29-02-2020","12914","108","10286"
"China","41","01-03-2020","12919","109","10582"
"China","42","02-03-2020","12923","109","10876"
"China","43","03-03-2020","12934","110","11196"
"China","44","04-03-2020","12939","110","11398"
"China","45","05-03-2020","12956","111","11648"
"China","46","06-03-2020","12981","111","11855"
