"State","Day","Date","Confirmed","Deaths","Recovered"
"Diamond Princess","1","21-01-2020","0","0","0"
"Diamond Princess","2","22-01-2020","0","0","0"
"Diamond Princess","3","23-01-2020","0","0","0"
"Diamond Princess","4","24-01-2020","0","0","0"
"Diamond Princess","5","25-01-2020","0","0","0"
"Diamond Princess","6","26-01-2020","0","0","0"
"Diamond Princess","7","27-01-2020","0","0","0"
"Diamond Princess","8","28-01-2020","0","0","0"
"Diamond Princess","9","29-01-2020","0","0","0"
"Diamond Princess","10","30-01-2020","0","0","0"
"Diamond Princess","11","31-01-2020","0","0","0"
"Diamond Princess","12","01-02-2020","0","0","0"
"Diamond Princess","13","02-02-2020","0","0","0"
"Diamond Princess","14","03-02-2020","0","0","0"
"Diamond Princess","15","04-02-2020","0","0","0"
"Diamond Princess","16","05-02-2020","0","0","0"
"Diamond Princess","17","06-02-2020","0","0","0"
"Diamond Princess","18","07-02-2020","61","0","0"
"Diamond Princess","19","08-02-2020","61","0","0"
"Diamond Princess","20","09-02-2020","64","0","0"
"Diamond Princess","21","10-02-2020","135","0","0"
"Diamond Princess","22","11-02-2020","135","0","0"
"Diamond Princess","23","12-02-2020","175","0","0"
"Diamond Princess","24","13-02-2020","175","0","0"
"Diamond Princess","25","14-02-2020","218","0","0"
"Diamond Princess","26","15-02-2020","285","0","0"
"Diamond Princess","27","16-02-2020","355","0","0"
"Diamond Princess","28","17-02-2020","454","0","0"
"Diamond Princess","29","18-02-2020","542","0","0"
"Diamond Princess","30","19-02-2020","621","0","1"
"Diamond Princess","31","20-02-2020","634","2","1"
"Diamond Princess","32","21-02-2020","634","2","1"
"Diamond Princess","33","22-02-2020","634","2","1"
"Diamond Princess","34","23-02-2020","691","3","0"
"Diamond Princess","35","24-02-2020","691","3","0"
"Diamond Princess","36","25-02-2020","691","3","0"
"Diamond Princess","37","26-02-2020","705","4","10"
"Diamond Princess","38","27-02-2020","705","4","10"
"Diamond Princess","39","28-02-2020","705","6","10"
"Diamond Princess","40","29-02-2020","705","6","10"
"Diamond Princess","41","01-03-2020","705","6","10"
"Diamond Princess","42","02-03-2020","705","6","10"
"Diamond Princess","43","03-03-2020","706","6","10"
"Diamond Princess","44","04-03-2020","706","6","10"
"Diamond Princess","45","05-03-2020","706","6","10"
"Diamond Princess","46","06-03-2020","696","6","40"
