"Location","Day","Date","Confirmed","Deaths","Recovered"
"Hubei","1","21-01-2020","270","0","25"
"Hubei","2","22-01-2020","444","17","28"
"Hubei","3","23-01-2020","444","17","28"
"Hubei","4","24-01-2020","549","24","31"
"Hubei","5","25-01-2020","761","40","32"
"Hubei","6","26-01-2020","1058","52","42"
"Hubei","7","27-01-2020","1423","76","45"
"Hubei","8","28-01-2020","3554","125","80"
"Hubei","9","29-01-2020","3554","125","88"
"Hubei","10","30-01-2020","4903","162","90"
"Hubei","11","31-01-2020","5806","204","141"
"Hubei","12","01-02-2020","7153","249","168"
"Hubei","13","02-02-2020","11177","350","295"
"Hubei","14","03-02-2020","13522","414","386"
"Hubei","15","04-02-2020","16678","479","522"
"Hubei","16","05-02-2020","19665","549","633"
"Hubei","17","06-02-2020","22112","618","817"
"Hubei","18","07-02-2020","24953","699","1115"
"Hubei","19","08-02-2020","27100","780","1439"
"Hubei","20","09-02-2020","29631","871","1795"
"Hubei","21","10-02-2020","31728","974","2222"
"Hubei","22","11-02-2020","33366","1068","2639"
"Hubei","23","12-02-2020","33366","1068","2686"
"Hubei","24","13-02-2020","48206","1310","3459"
"Hubei","25","14-02-2020","54406","1457","4774"
"Hubei","26","15-02-2020","56249","1596","5623"
"Hubei","27","16-02-2020","58182","1696","6639"
"Hubei","28","17-02-2020","59989","1789","7862"
"Hubei","29","18-02-2020","61682","1921","9128"
"Hubei","30","19-02-2020","62031","2029","10337"
"Hubei","31","20-02-2020","62442","2144","11788"
"Hubei","32","21-02-2020","62662","2144","11881"
"Hubei","33","22-02-2020","64084","2346","15299"
"Hubei","34","23-02-2020","64084","2346","15343"
"Hubei","35","24-02-2020","64287","2495","16748"
"Hubei","36","25-02-2020","64786","2563","18971"
"Hubei","37","26-02-2020","65187","2615","20969"
"Hubei","38","27-02-2020","65596","2641","23383"
"Hubei","39","28-02-2020","65914","2682","26403"
"Hubei","40","29-02-2020","66337","2727","28993"
"Hubei","41","01-03-2020","66907","2761","31536"
"Hubei","42","02-03-2020","67103","2803","33934"
"Hubei","43","03-03-2020","67217","2835","36208"
"Hubei","44","04-03-2020","67332","2871","38557"
"Hubei","45","05-03-2020","67466","2902","40592"
"China","1","21-01-2020","55","0","0"
"China","2","22-01-2020","103","0","0"
"China","3","23-01-2020","195","1","2"
"China","4","24-01-2020","367","2","5"
"China","5","25-01-2020","638","2","7"
"China","6","26-01-2020","1004","4","7"
"China","7","27-01-2020","1440","6","13"
"China","8","28-01-2020","1940","6","21"
"China","9","29-01-2020","2516","8","32"
"China","10","30-01-2020","3221","9","45"
"China","11","31-01-2020","3977","9","73"
"China","12","01-02-2020","4718","10","107"
"China","13","02-02-2020","5430","11","168"
"China","14","03-02-2020","6171","11","228"
"China","15","04-02-2020","7002","11","321"
"China","16","05-02-2020","7744","13","482"
"China","17","06-02-2020","8441","14","659"
"China","18","07-02-2020","9122","18","883"
"China","19","08-02-2020","9678","24","1156"
"China","20","09-02-2020","10159","33","1423"
"China","21","10-02-2020","10578","37","1695"
"China","22","11-02-2020","10961","43","1996"
"China","23","12-02-2020","11333","48","2393"
"China","24","13-02-2020","11626","58","2754"
"China","25","14-02-2020","11886","63","3199"
"China","26","15-02-2020","12098","66","3671"
"China","27","16-02-2020","12264","69","4109"
"China","28","17-02-2020","12375","74","4593"
"China","29","18-02-2020","12457","81","5071"
"China","30","19-02-2020","12515","85","5615"
"China","31","20-02-2020","12557","92","6214"
"China","32","21-02-2020","12810","92","6812"
"China","33","22-02-2020","12838","95","7388"
"China","34","23-02-2020","12854","97","7827"
"China","35","24-02-2020","12865","98","8242"
"China","36","25-02-2020","12874","100","8679"
"China","37","26-02-2020","12878","100","9084"
"China","38","27-02-2020","12902","103","9515"
"China","39","28-02-2020","12910","106","9888"
"China","40","29-02-2020","12914","108","10286"
"China","41","01-03-2020","12919","109","10582"
"China","42","02-03-2020","12923","109","10876"
"China","43","03-03-2020","12934","110","11196"
"China","44","04-03-2020","12939","110","11398"
"China","45","05-03-2020","12956","111","11648"
"World","1","21-01-2020","60","0","0"
"World","2","22-01-2020","111","0","0"
"World","3","23-01-2020","209","0","0"
"World","4","24-01-2020","392","0","0"
"World","5","25-01-2020","673","0","0"
"World","6","26-01-2020","1060","0","3"
"World","7","27-01-2020","1504","0","3"
"World","8","28-01-2020","2024","0","6"
"World","9","29-01-2020","2612","0","6"
"World","10","30-01-2020","3331","0","8"
"World","11","31-01-2020","4121","0","8"
"World","12","01-02-2020","4885","0","9"
"World","13","02-02-2020","5610","1","9"
"World","14","03-02-2020","6359","1","9"
"World","15","04-02-2020","7214","2","9"
"World","16","05-02-2020","7971","2","9"
"World","17","06-02-2020","8706","2","11"
"World","18","07-02-2020","9378","2","13"
"World","19","08-02-2020","9960","2","21"
"World","20","09-02-2020","10456","2","26"
"World","21","10-02-2020","10900","2","29"
"World","22","11-02-2020","11302","2","48"
"World","23","12-02-2020","11681","2","71"
"World","24","13-02-2020","11989","3","82"
"World","25","14-02-2020","12263","3","85"
"World","26","15-02-2020","12498","4","101"
"World","27","16-02-2020","12689","5","117"
"World","28","17-02-2020","12817","5","128"
"World","29","18-02-2020","12914","5","153"
"World","30","19-02-2020","12989","8","168"
"World","31","20-02-2020","13123","9","174"
"World","32","21-02-2020","13547","13","196"
"World","33","22-02-2020","13881","15","198"
"World","34","23-02-2020","14210","23","224"
"World","35","24-02-2020","14592","33","237"
"World","36","25-02-2020","14938","42","255"
"World","37","26-02-2020","15505","51","321"
"World","38","27-02-2020","16455","66","369"
"World","39","28-02-2020","17503","78","410"
"World","40","29-02-2020","18971","100","493"
"World","41","01-03-2020","20759","120","588"
"World","42","02-03-2020","22501","167","782"
"World","43","03-03-2020","24921","209","815"
"World","44","04-03-2020","27086","267","1206"
"World","45","05-03-2020","29714","329","1547"
"Diamond Princess","1","21-01-2020","0","0","0"
"Diamond Princess","2","22-01-2020","0","0","0"
"Diamond Princess","3","23-01-2020","0","0","0"
"Diamond Princess","4","24-01-2020","0","0","0"
"Diamond Princess","5","25-01-2020","0","0","0"
"Diamond Princess","6","26-01-2020","0","0","0"
"Diamond Princess","7","27-01-2020","0","0","0"
"Diamond Princess","8","28-01-2020","0","0","0"
"Diamond Princess","9","29-01-2020","0","0","0"
"Diamond Princess","10","30-01-2020","0","0","0"
"Diamond Princess","11","31-01-2020","0","0","0"
"Diamond Princess","12","01-02-2020","0","0","0"
"Diamond Princess","13","02-02-2020","0","0","0"
"Diamond Princess","14","03-02-2020","0","0","0"
"Diamond Princess","15","04-02-2020","0","0","0"
"Diamond Princess","16","05-02-2020","0","0","0"
"Diamond Princess","17","06-02-2020","0","0","0"
"Diamond Princess","18","07-02-2020","61","0","0"
"Diamond Princess","19","08-02-2020","61","0","0"
"Diamond Princess","20","09-02-2020","64","0","0"
"Diamond Princess","21","10-02-2020","135","0","0"
"Diamond Princess","22","11-02-2020","135","0","0"
"Diamond Princess","23","12-02-2020","175","0","0"
"Diamond Princess","24","13-02-2020","175","0","0"
"Diamond Princess","25","14-02-2020","218","0","0"
"Diamond Princess","26","15-02-2020","285","0","0"
"Diamond Princess","27","16-02-2020","355","0","0"
"Diamond Princess","28","17-02-2020","454","0","0"
"Diamond Princess","29","18-02-2020","542","0","0"
"Diamond Princess","30","19-02-2020","621","0","1"
"Diamond Princess","31","20-02-2020","634","2","1"
"Diamond Princess","32","21-02-2020","634","2","1"
"Diamond Princess","33","22-02-2020","634","2","1"
"Diamond Princess","34","23-02-2020","691","3","0"
"Diamond Princess","35","24-02-2020","691","3","0"
"Diamond Princess","36","25-02-2020","691","3","0"
"Diamond Princess","37","26-02-2020","705","4","10"
"Diamond Princess","38","27-02-2020","705","4","10"
"Diamond Princess","39","28-02-2020","705","6","10"
"Diamond Princess","40","29-02-2020","705","6","10"
"Diamond Princess","41","01-03-2020","705","6","10"
"Diamond Princess","42","02-03-2020","705","6","10"
"Diamond Princess","43","03-03-2020","706","6","10"
"Diamond Princess","44","04-03-2020","706","6","10"
"Diamond Princess","45","05-03-2020","706","6","10"
